Name,price
"APPLE iPhone 13 (Midnight, 128 GB)","₹52,499"
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹17,311"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹19,999"
"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)","₹5,999"
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹17,257"
"APPLE iPhone 13 (Starlight, 128 GB)","₹52,499"
"vivo T2x 5G (Aurora Gold, 128 GB)","₹15,999"
"vivo T2x 5G (Glimmer Black, 128 GB)","₹13,999"
"vivo T2x 5G (Marine Blue, 128 GB)","₹13,999"
"vivo T2x 5G (Marine Blue, 128 GB)","₹15,999"
"vivo T2x 5G (Aurora Gold, 128 GB)","₹13,999"
"vivo T2x 5G (Glimmer Black, 128 GB)","₹15,999"
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999"
"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999"
"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999"
"POCO C55 (Cool Blue, 128 GB)","₹8,499"
"APPLE iPhone 13 (Pink, 128 GB)","₹52,499"
"POCO C51 (Power Black, 64 GB)","₹6,499"
"Infinix SMART 7 (Azure Blue, 64 GB)","₹6,599"
"POCO C51 (Royal Blue, 64 GB)","₹6,499"
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,199"
"POCO C55 (Power Black, 128 GB)","₹8,499"
"MOTOROLA G32 (Mineral Gray, 128 GB)","₹9,999"
"Infinix SMART 7 (Emerald Green, 64 GB)","₹6,599"
